save_filenames,validity,uniqueness,novelty,sampled_averages,targets,,property_names,no_conditions_mean
./results/classical_eq_conditions_mean_std/no_conditions.csv,50.707,39.9806732798233,70.35959157500123,,,,MW,123.42324105153135
./results/classical_eq_conditions_mean_std/upper_MW.csv,11.651,53.49755385803794,96.51853040269533,137.1197800188825,137.87912762210297,,HBA,2.1482438322125152
./results/classical_eq_conditions_mean_std/lower_MW.csv,70.965,13.434791798774043,72.07887560310468,112.11915355456914,107.65993555989041,,HBD,0.552034235904313
./results/classical_eq_conditions_mean_std/upper_HBA.csv,41.554,13.356114934783655,75.35135135135135,3.984622419021033,4.341388022367163,,nRot,0.5515214861853392
./results/classical_eq_conditions_mean_std/lower_HBA.csv,18.569,17.05530723248425,90.1168298073887,0.5755829608487264,0.12082944453132605,,nRing,2.0292267339815018
./results/classical_eq_conditions_mean_std/upper_HBD.csv,64.274,30.730933192270594,88.58343458890239,2.7542707782307,2.5048350296171127,,nHet,2.2060465024552824
./results/classical_eq_conditions_mean_std/lower_HBD.csv,66.918,28.04477121252877,65.52459103745937,0.19133865327714517,0,,TPSA,31.739907705050584
./results/classical_eq_conditions_mean_std/upper_nRot.csv,41.087,25.638279747852117,62.037212834630715,2.5247645240587047,3.1045142464818762,,LogP,0.45575804070443926
./results/classical_eq_conditions_mean_std/lower_nRot.csv,65.733,38.92869639298374,76.8494274883739,0.10802793117612158,0,,StereoCenters,1.9784645118031041
./results/classical_eq_conditions_mean_std/upper_nRing.csv,58.243,38.289579863674604,78.53011075736515,3.6231993544288583,4.160138509407557,,,
./results/classical_eq_conditions_mean_std/lower_nRing.csv,73.61,14.993886700176606,72.8730633324273,0.0,0,,,
./results/classical_eq_conditions_mean_std/upper_nHet.csv,38.022,34.435326915996,77.74383258229588,4.763873546893904,4.842426839972925,,,
./results/classical_eq_conditions_mean_std/lower_nHet.csv,75.336,9.424445152383987,60.45070422535211,0.06472337262397791,0.1017549252836667,,,
./results/classical_eq_conditions_mean_std/upper_TPSA.csv,40.836,26.68478793221667,79.38882261172799,78.02718924478403,79.66505248138563,,,
./results/classical_eq_conditions_mean_std/lower_TPSA.csv,75.87,10.092263081586925,66.48818074964085,0.6677059443785424,0,,,
./results/classical_eq_conditions_mean_std/upper_LogP.csv,69.33399999999999,8.802319208469148,73.55398984106178,2.3557647203392285,2.3014031237647985,,,
./results/classical_eq_conditions_mean_std/lower_LogP.csv,66.081,22.35286996262163,88.7617629138176,-1.4877696732797627,-1.7071856980907705,,,
./results/classical_eq_conditions_mean_std/upper_StereoCenters.csv,62.18900000000001,28.85719339433019,76.08937924885768,4.3395134187718085,4.772225048681976,,,
./results/classical_eq_conditions_mean_std/lower_StereoCenters.csv,53.82,34.998141954663694,74.44255680611595,0.2617428465254552,0,,,
